proverbs578,proverbs578_modified_criteria_0_1,proverbs578_modified_criteria_1_1
"A bad penny always turns up
","a bad penny always turns up
","a bad penny always turns up
"
"A barking dog never bites
","a barking dog never bites
","a barking dog never bites
"
"A bird in the hand is worth two in the bush
","a absurd in the hand is worth two in the bush
","a herd in the hand is worth two in the bush
"
"A cat may look at a king
","a chat may look at a king
","a bat may look at a king
"
"A chain is only as strong as its weakest link
","a retain is only as strong as its weakest link
","a ascertain is only as strong as its weakest link
"
"A change is as good as a rest
","a arrange is as good as a rest
","a arrange is as good as a rest
"
"A dog is a man's best friend
","a log is a man's best friend
","a fog is a man's best friend
"
"A drowning man will clutch at a straw
","a drowning fan will clutch at a straw
","a drowning ban will clutch at a straw
"
"A fish always rots from the head down
","a fish always rots from the bed down
","a fish always rots from the bread down
"
"A fool and his money are soon parted
","a cruel and his money are soon parted
","a cruel and his money are soon parted
"
"A friend in need is a friend indeed
","a trend in need is a trend indeed
","a defend in need is a defend indeed
"
"A golden key can open any door
","a golden agree can open any door
","a golden bee can open any door
"
"A good beginning makes a good ending
","a good printing makes a good ending
","a good beginning makes a good ending
"
"A good man is hard to find
","a good can is hard to find
","a good ban is hard to find
"
"A house divided against itself cannot stand
","a mouse divided against itself cannot stand
","a mouse divided against itself cannot stand
"
"A person is known by the company he keeps
","a person is known by the company he keeps
","a person is known by the company he keeps
"
"A house is not a home
","a mouse is not a home
","a mouse is not a home
"
"A journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
"
"A leopard cannot change its spots
","a leopard cannot change its spots
","a leopard cannot change its spots
"
"A little knowledge is a dangerous thing
","a little knowledge is a dangerous thing
","a little knowledge is a dangerous thing
"
"A little learning is a dangerous thing
","a little concerning is a dangerous thing
","a little learning is a dangerous thing
"
"A little of what you fancy does you good
","a little of what you fancy does you wood
","a little of what you fancy does you good
"
"A man is known by his friends
","a plan is known by his friends
","a ban is known by his friends
"
"A man who is his own lawyer has a fool for his client
","a scan who is his own lawyer has a fool for his client
","a ban who is his own lawyer has a fool for his client
"
"A miss is as good as a mile
","a dismiss is as good as a mile
","a miss is as good as a mile
"
"A new broom sweeps clean
","a new boom sweeps clean
","a new assume sweeps clean
"
"A nod's as good as a wink to a blind horse
","a facade's as good as a wink to a blind horse
","a facade's as good as a wink to a blind horse
"
"A penny saved is a penny earned
","a penny saved is a penny earned
","a penny saved is a penny earned
"
"A picture paints a thousand words
","a picture paints a thousand words
","a picture paints a thousand words
"
"A place for everything and everything in its place
","a chase for everything and everything in its chase
","a base for everything and everything in its base
"
