data/top_proverbs,results/top_proverbs_modified_criteria_0_1,results/top_proverbs_modified_criteria_1_1
"Two wrongs don't make a right.
","two wrongs don't make a right.
","two wrongs don't make a right.
"
"The pen is mightier than the sword.
","the hen is mightier than the sword.
","the pen is mightier than the sword.
"
"When in Rome, do as the Romans.
","when in home, do as the romans.
","when in dome, do as the romans.
"
"The squeaky wheel gets the grease.
","the squeaky heal gets the grease.
","the squeaky appeal gets the grease.
"
"When the going gets tough, the tough get going.
","when the going sweats tough, the tough sweat going.
","when the going cassettes tough, the tough cassette going.
"
"No man is an island.
","no pan is an island.
","no ban is an island.
"
"Fortune favors the bold.
","fortune favors the bold.
","fortune favors the bold.
"
"People who live in glass houses should not throw stones.
","people who live in glass houses should not throw stones.
","people who live in glass houses should not throw stones.
"
"Hope for the best, but prepare for the worst.
","soap for the best, but prepare for the worst.
","cope for the best, but prepare for the worst.
"
"Better late than never.
","better late than never.
","better late than never.
"
"Birds of a feather flock together.
","birds of a feather flock together.
","birds of a feather flock together.
"
"Keep your friends close and your enemies closer.
","keep your friends close and your enemies closer.
","keep your friends close and your enemies closer.
"
"A picture is worth a thousand words.
","a picture is worth a thousand words.
","a picture is worth a thousand words.
"
"There's no such thing as a free lunch.
","there's no such ring as a free lunch.
","there's no such spring as a free lunch.
"
"There's no place like home.
","there's no replace like home.
","there's no base like home.
"
"Discretion is the greater part of valor.
","expression is the greater part of valor.
","aggression is the greater part of valor.
"
"The early bird catches the worm.
","the early preferred catches the worm.
","the early herd catches the worm.
"
"Never look a gift horse in the mouth.
","never look a swift horse in the mouth.
","never look a drift horse in the mouth.
"
"You can't make an omelet without breaking a few eggs.
","you can't make an omelet without breaking a few eggs.
","you can't make an omelet without breaking a few eggs.
"
"God helps those who help themselves.
","facade helps those who help themselves.
","facade helps those who help themselves.
"
"You can't always get what you want.
","you can't always get what you want.
","you can't always get what you want.
"
"Cleanliness is next to godliness.
","cleanliness is next to godliness.
","cleanliness is next to godliness.
"
"A watched pot never boils.
","a watched dot never boils.
","a watched dot never boils.
"
"Beggars can't be choosers.
","beggars can't be choosers.
","beggars can't be choosers.
"
"Actions speak louder than words.
","actions speak louder than words.
","actions speak louder than words.
"
"If it ain't broke, don't fix it.
","if it ain't broke, don't fix it.
","if it ain't broke, don't fix it.
"
"Practice makes perfect.
","practise makes perfect.
","practise makes perfect.
"
"Too many cooks spoil the broth.
","too many cooks spoil the broth.
","too many cooks spoil the broth.
"
"Easy come, easy go.
","easy from, easy go.
","easy drum, easy go.
"
"Don't bite the hand that feeds you.
","don't bite the band that feeds you.
","don't bite the band that feeds you.
"
"All good things must come to an end.
","all good things must come to an end.
","all good things must come to an end.
"
"If you can't beat 'em, join 'em.
","if you can't beat 'em, join 'em.
","if you can't beat 'em, join 'em.
"
"One man's trash is another man's treasure.
","one ban's trash is another ban's treasure.
","one ban's trash is another ban's treasure.
"
"There's no time like the present.
","there's no climb like the present.
","there's no climb like the present.
"
"Beauty is in the eye of the beholder.
","duty is in the eye of the beholder.
","duty is in the eye of the beholder.
"
"Necessity is the mother of invention.
","necessity is the mother of invention.
","necessity is the mother of invention.
"
"A penny saved is a penny earned.
","a penny saved is a penny earned.
","a penny saved is a penny earned.
"
"Familiarity breeds contempt.
","similarity breeds contempt.
","clarity breeds contempt.
"
"You can't judge a book by its cover.
","you can't judge a cook by its cover.
","you can't judge a cook by its cover.
"
"Good things come to those who wait.
","good things come to those who wait.
","good things come to those who wait.
"
"Don't put all your eggs in one basket.
","don't put all your eggs in one basket.
","don't put all your eggs in one basket.
"
"Two heads are better than one.
","two heads are better than one.
","two heads are better than one.
"
"The grass is always greener on the other side of the hill.
","the middle-class is always greener on the other side of the hill.
","the bass is always greener on the other side of the hill.
"
"Do unto others as you would have them do unto you.
","do unto others as you would have them do unto you.
","do unto others as you would have them do unto you.
"
"A chain is only as strong as its weakest link.
","a plane is only as strong as its weakest link.
","a ascertain is only as strong as its weakest link.
"
"Honesty is the best policy.
","honesty is the best policy.
","honesty is the best policy.
"
"Absence makes the heart grow fonder.
","absence makes the heart grow fonder.
","absence makes the heart grow fonder.
"
"You can lead a horse to water, but you can't make him drink.
","you can lead a course to water, but you can't make him drink.
","you can lead a course to water, but you can't make him drink.
"
"Don't count your chickens before they hatch.
","don't count your chickens before they hatch.
","don't count your chickens before they hatch.
"
"If you want something done right, you have to do it yourself.
","if you want something done right, you have to do it yourself.
","if you want something done right, you have to do it yourself.
"
