proverbs578,proverbs578_modified_criteria_0,proverbs578_modified_criteria_1
"A bad penny always turns up
","a bad many always turns up
","a bad ankeney always turns up
"
"A barking dog never bites
","a barking fog never bites
","a barking blog never bites
"
"A bird in the hand is worth two in the bush
","a bird in the vande is worth two in the bush
","a bird in the band is worth two in the bush
"
"A cat may look at a king
","a cat may look at a spring
","a cat may look at a chang-ming
"
"A chain is only as strong as its weakest link
","a chain is only as strong as its weakest smink
","a chain is only as strong as its weakest bink
"
"A change is as good as a rest
","a change is as good as a suggest
","a change is as good as a arrest
"
"A dog is a man's best friend
","a dog is a ann's best friend
","a dog is a ane's best friend
"
"A drowning man will clutch at a straw
","a drowning man will clutch at a waugh
","a drowning man will clutch at a aw
"
"A fish always rots from the head down
","a fish always rots from the redd down
","a fish always rots from the behead down
"
"A fool and his money are soon parted
","a fool and his tunney are soon parted
","a fool and his bunney are soon parted
"
"A friend in need is a friend indeed
","a friend in weed is a friend indeed
","a friend in bead is a friend indeed
"
"A golden key can open any door
","a golden key can open any melor
","a golden key can open any abhor
"
"A good beginning makes a good ending
","a good grinning makes a good ending
","a good winning makes a good ending
"
"A good man is hard to find
","a good stann is hard to find
","a good ane is hard to find
"
"A house divided against itself cannot stand
","a kraus divided against itself cannot stand
","a blouse divided against itself cannot stand
"
"A person is known by the company he keeps
","a person is known by the pauli he keeps
","a person is known by the ability he keeps
"
"A house is not a home
","a house is not a noam
","a house is not a bloem
"
"A journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
"
"A leopard cannot change its spots
","a leopard cannot change its lotz
","a leopard cannot change its allots
"
"A little knowledge is a dangerous thing
","a little knowledge is a dangerous schwing
","a little knowledge is a dangerous chang-ming
"
"A little learning is a dangerous thing
","a little learning is a dangerous cling
","a little learning is a dangerous chang-ming
"
"A little of what you fancy does you good
","a little of what you fancy does you hood
","a little of what you fancy does you fulwood
"
"A man is known by his friends
","a man is known by his ascends
","a man is known by his amends
"
"A man who is his own lawyer has a fool for his client
","a man who is his own sawyer has a fool for his client
","a man who is his own sawyer has a fool for his client
"
"A miss is as good as a mile
","a miss is as good as a stile
","a miss is as good as a aisle
"
"A new broom sweeps clean
","a new broom peeps clean
","a new broom beeps clean
"
"A nod's as good as a wink to a blind horse
","a nod's as good as a krinke to a blind horse
","a nod's as good as a bink to a blind horse
"
"A penny saved is a penny earned
","a gisenyi saved is a gisenyi earned
","a ankeney saved is a ankeney earned
"
"A picture paints a thousand words
","a picture paints a thousand words
","a picture paints a thousand words
"
"A place for everything and everything in its place
","a place for splattering and splattering in its place
","a place for anything and anything in its place
"
"A poor workman always blames his tools
","a poor workman always blames his soules
","a poor workman always blames his cools
"
"A person is known by the company he keeps
","a person is known by the dzikowski he keeps
","a person is known by the ability he keeps
"
"A problem shared is a problem halved
","a problem shared is a problem halved
","a problem shared is a problem halved
"
"A prophet is not recognized in his own land
","a prophet is not recognized in his own gland
","a prophet is not recognized in his own band
"
"A rising tide lifts all boats
","a rising tide lifts all oates
","a rising tide lifts all ""in-quotes
"
"A rolling stone gathers no moss
","a rolling stone lathers no moss
","a rolling stone bathers no moss
"
"A soft answer turneth away wrath
","a soft answer turneth away corath
","a soft answer turneth away bath
"
"A stitch in time saves nine
","a stitch in chime saves nine
","a stitch in anticrime saves nine
"
"A swarm in May is worth a load of hay; a swarm in June is worth a silver spoon; but a swarm in July is not worth a fly
","a swarm in may is worth a thode of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly
","a swarm in may is worth a abode of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly
"
"A thing of beauty is a joy forever
","a thing of maruti is a joy forever
","a thing of benvenuti is a joy forever
"
"A trouble shared is a trouble halved
","a hubbell shared is a hubbell halved
","a hubbell shared is a hubbell halved
"
"A volunteer is worth twenty pressed men
","a volunteer is worth twenty pressed schwenn
","a volunteer is worth twenty pressed (paren
"
"A watched pot never boils
","a watched pot never boylls
","a watched pot never boyles
"
"A woman is only a woman, but a good cigar is a smoke
","a trueman is only a trueman, but a good cigar is a smoke
","a trueman is only a trueman, but a good cigar is a smoke
"
"A woman's place is in the home
","a woman's {open-brace is in the home
","a woman's ace is in the home
"
"A woman's work is never done
","a woman's leclerc is never done
","a woman's berch is never done
"
"A word to the wise is enough
","a word to the goodbyes is enough
","a word to the advise is enough
"
"Absence makes the heart grow fonder
","absence makes the smartt grow fonder
","absence makes the bossart grow fonder
"
"Absolute power corrupts absolutely
","absolute power interrupts absolutely
","absolute power disrupts absolutely
"
"Accidents will happen (in the best-regulated families).
","accidents will happen (in the best-regulated family's).
","accidents will happen (in the best-regulated family's).
"
"Actions speak louder than words
","actions speak louder than word's
","actions speak louder than birds
"
"Adversity makes strange bedfellows
","adversity makes strange marshmallows
","adversity makes strange goodfellows
"
"After a storm comes a calm
","after a storm comes a som
","after a storm comes a altom
"
"All good things come to he who waits
","all good kings' come to he who waits
","all good brings come to he who waits
"
"All good things must come to an end
","all good things must come to an send
","all good things must come to an backend
"
"All is grist that comes to the mill
","all is grist that comes to the antill
","all is grist that comes to the abril
"
"All publicity is good publicity
","all complicity is good complicity
","all analyticity is good analyticity
"
"All roads lead to Rome
","all erodes lead to rome
","all bodes lead to rome
"
"All that glisters is not gold
","all that glisters is not gold
","all that glisters is not gold
"
"All that glitters is not gold
","all that witters is not gold
","all that bitters is not gold
"
"All the world loves a lover
","all the world loves a shover
","all the world loves a cover
"
"All things come to those who wait
","all singh's come to those who wait
","all brings come to those who wait
"
"All things must pass
","all things' must pass
","all brings must pass
"
"All work and no play makes Jack a dull boy
","all work and no hooray makes jack a dull boy
","all work and no a. makes jack a dull boy
"
"All you need is love
","all you need is glove
","all you need is dove
"
"All's fair in love and war
","all's fair in love and hoerr
","all's fair in love and abhor
"
"All's for the best in the best of all possible worlds
","all's for the best in the best of all possible world's
","all's for the best in the best of all possible world's
"
"All's well that ends well
","all's averell that ends averell
","all's accel that ends accel
"
"A miss is as good as a mile
","a miss is as good as a hostile
","a miss is as good as a aisle
"
"An apple a day keeps the doctor away
","an apple a bayh keeps the doctor away
","an apple a a. keeps the doctor away
"
"An army marches on its stomach
","an army arches on its stomach
","an army arches on its stomach
"
"An Englishman's home is his castle
","an englishman's holm is his castle
","an englishman's bloem is his castle
"
"An eye for an eye, a tooth for a tooth
","an lai for an lai, a tooth for a tooth
","an ai for an ai, a tooth for a tooth
"
"An ounce of prevention is worth a pound of cure
","an ounce of extension is worth a pound of cure
","an ounce of apprehension is worth a pound of cure
"
"Another day, another dollar
","another day, another pfahler
","another day, another bahler
"
"Any port in a storm
","any port in a swarm
","any port in a conform
"
"Appearances can be deceptive
","appearances can be deceptive
","appearances can be deceptive
"
"April is the cruellest month
","april is the cruellest month
","april is the cruellest month
"
"April showers bring forth May flowers
","april showers bring borth may flowers
","april showers bring dansforth may flowers
"
"As thick as thieves
","as thick as aviv's
","as thick as achieves
"
"As you make your bed, so you must lie upon it
","as you make your wed, so you must lie upon it
","as you make your behead, so you must lie upon it
"
"As you sow so shall you reap
","as you sow so shall you oversleep
","as you sow so shall you keep
"
"Ashes to ashes dust to dust
","slashes to slashes dust to dust
","bashes to bashes dust to dust
"
"Ask a silly question and you'll get a silly answer
","ask a silly question and you'll get a silly anticancer
","ask a silly question and you'll get a silly advancer
"
"Ask no questions and hear no lies
","ask no questions and hear no kise
","ask no questions and hear no allies
"
"Attack is the best form of defence
","attack is the best schwarm of defence
","attack is the best conform of defence
"
"Bad money drives out good
","bad money gonaives out good
","bad money arrives out good
"
"Bad news travels fast
","bad news unravels fast
","bad news unravels fast
"
"Barking dogs seldom bite
","barking fogg's seldom bite
","barking bogs seldom bite
"
"Be careful what you wish for
","be careful what you wish boar
","be careful what you wish adore
"
"Beat swords into ploughshares
","beat records into ploughshares
","beat accords into ploughshares
"
"Beauty is in the eye of the beholder
","beauty is in the defy of the beholder
","beauty is in the ai of the beholder
"
"Beauty is only skin deep
","beauty is only skin bopeep
","beauty is only skin beep
"
"Beggars should not be choosers
","beggars should not be choosers
","beggars should not be choosers
"
