top_proverbs,top_proverbs_modified_criteria_0,top_proverbs_modified_criteria_1
"Two wrongs don't make a right.
","two longs don't make a right.
","two alongs don't make a right.
"
"The pen is mightier than the sword.
","the (left-paren is mightier than the sword.
","the aidenn is mightier than the sword.
"
"When in Rome, do as the Romans.
","when in tome, do as the romans.
","when in bloem, do as the romans.
"
"The squeaky wheel gets the grease.
","the squeaky biehl gets the grease.
","the squeaky appeal gets the grease.
"
"When the going gets tough, the tough get going.
","when the going intermets tough, the tough intermet going.
","when the going abbetts tough, the tough abbett going.
"
"No man is an island.
","no mcshan is an island.
","no ane is an island.
"
"Fortune favors the bold.
","misfortune favors the bold.
","misfortune favors the bold.
"
"People who live in glass houses should not throw stones.
","laypeople who live in glass houses should not throw stones.
","teeple who live in glass houses should not throw stones.
"
"Hope for the best, but prepare for the worst.
","shope for the best, but prepare for the worst.
","bronchoscope for the best, but prepare for the worst.
"
"Better late than never.
","better late than never.
","better late than never.
"
"Birds of a feather flock together.
","kurds of a feather flock together.
","gerdes of a feather flock together.
"
"Keep your friends close and your enemies closer.
","keep your fends close and your enemies closer.
","keep your amends close and your enemies closer.
"
"A picture is worth a thousand words.
","a stricture is worth a thousand words.
","a stricture is worth a thousand words.
"
"There's no such thing as a free lunch.
","there's no such beijing as a free lunch.
","there's no such chang-ming as a free lunch.
"
"There's no place like home.
","there's no race like home.
","there's no ace like home.
"
"Discretion is the greater part of valor.
","misimpression is the greater part of valor.
","accession is the greater part of valor.
"
"The early bird catches the worm.
","the early kurd catches the worm.
","the early byrd catches the worm.
"
"Never look a gift horse in the mouth.
","never look a fork-lift horse in the mouth.
","never look a adrift horse in the mouth.
"
"You can't make an omelet without breaking a few eggs.
","you can't make an omelet without breaking a few eggs.
","you can't make an omelet without breaking a few eggs.
"
"God helps those who help themselves.
","jawad helps those who help themselves.
","awad helps those who help themselves.
"
"You can't always get what you want.
","you can't always get what you want.
","you can't always get what you want.
"
"Cleanliness is next to godliness.
","cleanliness is next to godliness.
","cleanliness is next to godliness.
"
"A watched pot never boils.
","a watched sadat never boils.
","a watched abott never boils.
"
"Beggars can't be choosers.
","eggers can't be choosers.
","eggers can't be choosers.
"
"Actions speak louder than words.
","transaction's speak louder than words.
","abstractions speak louder than words.
"
"If it ain't broke, don't fix it.
","if it ain't broke, don't fix it.
","if it ain't broke, don't fix it.
"
"Practice makes perfect.
","malpractice makes perfect.
","malpractice makes perfect.
"
"Too many cooks spoil the broth.
","too many snooks spoil the broth.
","too many books spoil the broth.
"
"Easy come, easy go.
","easy thum, easy go.
","easy alum, easy go.
"
"Don't bite the hand that feeds you.
","don't bite the bourland that feeds you.
","don't bite the band that feeds you.
"
"All good things must come to an end.
","all good flings must come to an end.
","all good brings must come to an end.
"
"If you can't beat 'em, join 'em.
","if you can't beat 'em, join 'em.
","if you can't beat 'em, join 'em.
"
"One man's trash is another man's treasure.
","one duan's trash is another duan's treasure.
","one ane's trash is another ane's treasure.
"
"There's no time like the present.
","there's no grime like the present.
","there's no anticrime like the present.
"
"Beauty is in the eye of the beholder.
","venuti is in the eye of the beholder.
","benvenuti is in the eye of the beholder.
"
"Necessity is the mother of invention.
","necessity is the mother of invention.
","necessity is the mother of invention.
"
"A penny saved is a penny earned.
","a yevgeny saved is a yevgeny earned.
","a ankeney saved is a ankeney earned.
"
"Familiarity breeds contempt.
","prosperity breeds contempt.
","barbarity breeds contempt.
"
"You can't judge a book by its cover.
","you can't judge a vanhook by its cover.
","you can't judge a betook by its cover.
"
"Good things come to those who wait.
","good brings come to those who wait.
","good brings come to those who wait.
"
"Don't put all your eggs in one basket.
","don't put all your imreg's in one basket.
","don't put all your beggs in one basket.
"
"Two heads are better than one.
","two sheds are better than one.
","two beds are better than one.
"
"The grass is always greener on the other side of the hill.
","the blass is always greener on the other side of the hill.
","the amass is always greener on the other side of the hill.
"
"Do unto others as you would have them do unto you.
","do unto carruthers as you would have them do unto you.
","do unto brothers as you would have them do unto you.
"
"A chain is only as strong as its weakest link.
","a plain is only as strong as its weakest link.
","a aine is only as strong as its weakest link.
"
"Honesty is the best policy.
","dishonesty is the best policy.
","dishonesty is the best policy.
"
"Absence makes the heart grow fonder.
","absence makes the heart grow fonder.
","absence makes the heart grow fonder.
"
"You can lead a horse to water, but you can't make him drink.
","you can lead a divorce to water, but you can't make him drink.
","you can lead a borse to water, but you can't make him drink.
"
"Don't count your chickens before they hatch.
","don't count your lykins before they hatch.
","don't count your hichens before they hatch.
"
"If you want something done right, you have to do it yourself.
","if you want twentysomething done right, you have to do it yourself.
","if you want twentysomething done right, you have to do it yourself.
"
